[INFO] total=6430 targets=4187 model=gpt-4.1
[OK] batch=2300~2319 changed=2283 failed=37
[OK] batch=2320~2339 changed=2303 failed=37
[OK] batch=2340~2359 changed=2323 failed=37
[OK] batch=2360~2379 changed=2342 failed=38
[OK] batch=2380~2399 changed=2362 failed=38
[OK] batch=2400~2419 changed=2382 failed=38
[OK] batch=2420~2439 changed=2402 failed=38
[OK] batch=2440~2459 changed=2420 failed=40
[OK] batch=2460~2479 changed=2440 failed=40
[OK] batch=2480~2499 changed=2460 failed=40
[OK] batch=2500~2519 changed=2480 failed=40
[OK] batch=2520~2539 changed=2500 failed=40
[OK] batch=2540~2559 changed=2520 failed=40
[OK] batch=2560~2579 changed=2540 failed=40
[OK] batch=2580~2599 changed=2559 failed=41
[OK] batch=2600~2619 changed=2577 failed=43
[OK] batch=2620~2639 changed=2596 failed=44
[OK] batch=2640~2659 changed=2616 failed=44
[OK] batch=2660~2679 changed=2636 failed=44
[OK] batch=2680~2699 changed=2656 failed=44
[OK] batch=2700~2719 changed=2675 failed=45
[OK] batch=2720~2739 changed=2694 failed=46
[OK] batch=2740~2759 changed=2714 failed=46
[OK] batch=2760~2779 changed=2734 failed=46
[OK] batch=2780~2799 changed=2754 failed=46
[OK] batch=2800~2819 changed=2774 failed=46
[OK] batch=2820~2839 changed=2794 failed=46
[OK] batch=2840~2859 changed=2814 failed=46
[OK] batch=2860~2879 changed=2834 failed=46
[OK] batch=2880~2899 changed=2853 failed=47
[OK] batch=2900~2919 changed=2873 failed=47
[OK] batch=2920~2939 changed=2893 failed=47
[OK] batch=2940~2959 changed=2913 failed=47
[OK] batch=2960~2979 changed=2933 failed=47
[OK] batch=2980~2999 changed=2953 failed=47
[OK] batch=3000~3019 changed=2973 failed=47
[OK] batch=3020~3039 changed=2993 failed=47
[OK] batch=3040~3059 changed=3013 failed=47
[OK] batch=3060~3079 changed=3032 failed=48
[OK] batch=3080~3099 changed=3052 failed=48
[OK] batch=3100~3119 changed=3072 failed=48
[OK] batch=3120~3139 changed=3092 failed=48
[OK] batch=3140~3159 changed=3112 failed=48
[OK] batch=3160~3179 changed=3132 failed=48
[OK] batch=3180~3199 changed=3150 failed=50
[OK] batch=3200~3219 changed=3170 failed=50
[OK] batch=3220~3239 changed=3190 failed=50
[OK] batch=3240~3259 changed=3210 failed=50
[OK] batch=3260~3279 changed=3230 failed=50
[OK] batch=3280~3299 changed=3249 failed=51
[OK] batch=3300~3319 changed=3269 failed=51
[OK] batch=3320~3339 changed=3289 failed=51
[OK] batch=3340~3359 changed=3309 failed=51
[OK] batch=3360~3379 changed=3329 failed=51
[OK] batch=3380~3399 changed=3349 failed=51
[OK] batch=3400~3419 changed=3369 failed=51
[OK] batch=3420~3439 changed=3389 failed=51
[OK] batch=3440~3459 changed=3408 failed=52
[OK] batch=3460~3479 changed=3426 failed=54
[OK] batch=3480~3499 changed=3446 failed=54
[OK] batch=3500~3519 changed=3465 failed=55
[OK] batch=3520~3539 changed=3483 failed=57
[OK] batch=3540~3559 changed=3503 failed=57
[OK] batch=3560~3579 changed=3523 failed=57
[OK] batch=3580~3599 changed=3542 failed=58
[OK] batch=3600~3619 changed=3559 failed=61
[OK] batch=3620~3639 changed=3579 failed=61
[OK] batch=3640~3659 changed=3599 failed=61
[OK] batch=3660~3679 changed=3618 failed=62
[OK] batch=3680~3699 changed=3638 failed=62
[OK] batch=3700~3719 changed=3658 failed=62
[OK] batch=3720~3739 changed=3677 failed=63
[OK] batch=3740~3759 changed=3697 failed=63
[OK] batch=3760~3779 changed=3717 failed=63
[OK] batch=3780~3799 changed=3737 failed=63
[OK] batch=3800~3819 changed=3756 failed=64
[OK] batch=3820~3839 changed=3776 failed=64
[OK] batch=3840~3859 changed=3796 failed=64
[OK] batch=3860~3879 changed=3816 failed=64
[OK] batch=3880~3899 changed=3836 failed=64
[OK] batch=3900~3919 changed=3856 failed=64
[OK] batch=3920~3939 changed=3876 failed=64
[OK] batch=3940~3959 changed=3896 failed=64
[OK] batch=3960~3979 changed=3916 failed=64
[OK] batch=3980~3999 changed=3936 failed=64
[OK] batch=4000~4019 changed=3956 failed=64
[OK] batch=4020~4039 changed=3976 failed=64
[OK] batch=4040~4059 changed=3996 failed=64
[OK] batch=4060~4079 changed=4016 failed=64
[OK] batch=4080~4099 changed=4036 failed=64
[OK] batch=4100~4119 changed=4056 failed=64
[OK] batch=4120~4139 changed=4076 failed=64
[OK] batch=4140~4159 changed=4096 failed=64
[OK] batch=4160~4179 changed=4115 failed=65
[OK] batch=4180~4186 changed=4115 failed=72
[DONE] out=hp2_translations.retranslated.v3.csv changed=4115 failed=72
