key,path_id,field_path,type,orig,trans,orig_sha1
8289|onMessage,8289,onMessage,MonoBehaviour,"Abia's ""Morning Delight"" outfit and hairstyle unlocked!","Abia의 ""Morning Delight"" 의상과 헤어스타일이 해금되었습니다!",e4221f04be362f3dbc173b25a9efb1b7c3038403
8290|onMessage,8290,onMessage,MonoBehaviour,"Polly's ""Tuxedo"" outfit and hairstyle unlocked!","Polly의 ""Tuxedo"" 의상과 헤어스타일이 해금되었습니다!",1ffe726ea8e594dcf916e3c3e3d7b3c71825d9f8
8291|onMessage,8291,onMessage,MonoBehaviour,"""Secret Code"" achievement unlocked!","""Secret Code"" 업적이 해금되었습니다!",169d32556ba1369de22c27d7e0cddae344d51eec
8292|onMessage,8292,onMessage,MonoBehaviour,Location transition speed is now much faster!,장소 전환 속도가 훨씬 빨라졌습니다!,7a546d3ebcec296fe160061141c5356ae2354a38
8292|offMessage,8292,offMessage,MonoBehaviour,Location transition speed is back to normal!,이동 속도가 원래대로 돌아왔어!,70fda7e8c6653d656a0f5cc71484cb82b72cffd4
8293|onMessage,8293,onMessage,MonoBehaviour,Abia's headwear replaced with alternate hairstyles!,Abia의 헤드웨어가 대체 헤어스타일로 변경되었습니다!,e793c65ce1a4a6aaab428df7436b3466017addca
8293|offMessage,8293,offMessage,MonoBehaviour,Abia's alternate hairstyles replaced with headwear!,아비아의 대체 헤어스타일이 머리 장식으로 바뀌었어!,e4ed2995a11946e20c99be2650c9ac115811ce68
8294|onMessage,8294,onMessage,MonoBehaviour,Alpha mode is now disabled across all save files.,모든 저장 파일에서 Alpha 모드가 비활성화되었습니다.,5f9fee028876ad52ae2731d0368b64130e3675c5
8294|offMessage,8294,offMessage,MonoBehaviour,Alpha mode is now re-enabled across all save files.,모든 세이브 파일에서 알파 모드가 다시 활성화됐어.,c4e5ea1ea2141fa5457124213da8b623949ea920
8295|onMessage,8295,onMessage,MonoBehaviour,The screen will now display with a letterbox.,화면이 시네마스코프로 표시됩니다.,c683dcc7c10e6c29e14dfc805e70086aa4d54809
8295|offMessage,8295,offMessage,MonoBehaviour,The screen will now display without a letterbox.,이제 화면에 레터박스 없이 나올 거야.,e3a40101bdd3f54e1087b7afddd4a4e856b490f7
8296|steps[0].dialogLine.dialogText,8296,steps[0].dialogLine.dialogText,MonoBehaviour,Do you think they have wi-fi here?▸▸▸▸▸ I need to respond to a couple of e-mails.,여기 와이파이 있겠지?▸▸▸▸▸ 나 메일 몇 개 답장해야 해.,bdf0cd413ac929389bcff3fcb9ac154570d6ef66
8296|steps[1].dialogOptions[0].dialogOptionText,8296,steps[1].dialogOptions[0].dialogOptionText,MonoBehaviour,I'm sure they do. It's pretty much everywhere these days.,있을 거야. 요즘은 어디에나 다 있잖아.,cff23838b2abc095dcadd1dce438dfc101d98d30
8296|steps[1].dialogOptions[0].steps[0].dialogLine.dialogText,8296,steps[1].dialogOptions[0].steps[0].dialogLine.dialogText,MonoBehaviour,That's a good point.▸▸▸▸▸▸▸▸ I just hope it's not password protected...,그 말도 맞네.▸▸▸▸▸▸▸▸ 비밀번호 안 걸려 있으면 좋겠다...,56282c7f0f7f0a97eaecdb2ee9dd261b212694d8
8296|steps[1].dialogOptions[1].dialogOptionText,8296,steps[1].dialogOptions[1].dialogOptionText,MonoBehaviour,You brought your laptop with you?,노트북까지 들고 온 거야?,cab9d51db4b70d6bf666fa5ef83fc90d5be45a52
8296|steps[1].dialogOptions[1].steps[0].dialogLine.dialogText,8296,steps[1].dialogOptions[1].steps[0].dialogLine.dialogText,MonoBehaviour,"My tablet,▸▸ technically.▸▸▸▸▸▸▸▸▸▸▸▸▸ You never know when you might be able to squeeze in a little work!","태블릿이야,▸▸ 엄밀히 말하면.▸▸▸▸▸▸▸▸▸▸▸▸▸ 언제 잠깐이라도 일할 수 있을지 모르잖아!",19b6744f9892d520f8121a71ff14c39fefca6b6a
8296|steps[1].dialogOptions[2].dialogOptionText,8296,steps[1].dialogOptions[2].dialogOptionText,MonoBehaviour,You shouldn't be working. You're on vacation!,일 그만 좀 해. 지금 휴가 중이잖아!,052b22e0fee18f23c110d91f56f7b08dec880a23
8296|steps[1].dialogOptions[2].steps[0].dialogLine.dialogText,8296,steps[1].dialogOptions[2].steps[0].dialogLine.dialogText,MonoBehaviour,Now what kind of attitude is that?,그게 무슨 태도야?,bb2b8b5895884b333ff288836db1d38ad2ab34f9
8296|steps[2].dialogLine.dialogText,8296,steps[2].dialogLine.dialogText,MonoBehaviour,"Vacation is no excuse to start being a lazy bum, right?▸▸▸▸▸ There's plenty I can do remotely.","휴가라고 해서 놀고만 있을 수는 없잖아, 응?▸▸▸▸▸ 원격으로 할 수 있는 일도 많아.",251ee27d0b4de18c70991eb63a381df05f05d63e
8296|steps[3].dialogLine.dialogText,8296,steps[3].dialogLine.dialogText,MonoBehaviour,"It's better than falling behind,▸▸▸▸▸ even if it means I don't have QUITE as much time for recreation.","뒤처지는 것보다는 낫지,▸▸▸▸▸ 놀이 시간이 조금 줄더라도.",40d9ad2e3ddb8e1d4f09d70d9b8fb5b3cf0f7658
8297|steps[0].dialogLine.dialogText,8297,steps[0].dialogLine.dialogText,MonoBehaviour,[aaaaaa]▸▸▸▸▸I think I'm starting to crash...▸▸▸▸▸▸▸ I wonder if there's a place I can grab a coffee around here...,[aaaaaa]▸▸▸▸▸나 갑자기 몸이 나른해져...▸▸▸▸▸▸▸ 근처에 커피 마실 데 있으면 좋겠다...,18a8c36d557a0172c8e2d00734cce6a51b3cf6d6
8297|steps[1].dialogOptions[0].dialogOptionText,8297,steps[1].dialogOptions[0].dialogOptionText,MonoBehaviour,I'm sure we can find a place somewhere around here...,근처에서 어디든 찾을 수 있을 거야...,aea9530e45141ad3475680dab88e0ca6ad91621a
8297|steps[1].dialogOptions[0].steps[0].dialogLine.dialogText,8297,steps[1].dialogOptions[0].steps[0].dialogLine.dialogText,MonoBehaviour,I▸▸ hope▸▸ so.▸▸▸▸▸▸▸▸▸▸▸▸▸ Another few hours and I'll be getting withdrawal headaches...,나▸▸ 진짜▸▸ 그래야 할 텐데.▸▸▸▸▸▸▸▸▸▸▸▸▸ 몇 시간만 더 지나면 금단현상에 두통 올 것 같아...,7e46fab85f8eab01ea236fe08ccf6f203b06059a
8297|steps[1].dialogOptions[1].dialogOptionText,8297,steps[1].dialogOptions[1].dialogOptionText,MonoBehaviour,I saw a vending machine back there with energy drinks. Will that work?,저기 에너지 드링크 파는 자판기 봤는데. 그걸로 괜찮아?,8ae12416b65b2024e9b86c7b85ce7d69451282fd
8297|steps[1].dialogOptions[1].steps[0].dialogLine.dialogText,8297,steps[1].dialogOptions[1].steps[0].dialogLine.dialogText,MonoBehaviour,"I'm not crazy about those drinks,▸▸▸▸▸ but I'll take ANYTHING with caffeine in it at this point.","그런 음료 별로 안 좋아하지만,▸▸▸▸▸ 이쯤 되면 카페인만 있으면 아무거나 마실래.",c1e7987798c69941cbc7c27431776467744af036
8297|steps[1].dialogOptions[2].dialogOptionText,8297,steps[1].dialogOptions[2].dialogOptionText,MonoBehaviour,I think you might be a little addicted to coffee...,너 커피에 좀 중독된 것 같다...,2342d80bcca4a9005c6acd43936a79ecb23d6c9d
8297|steps[1].dialogOptions[2].steps[0].dialogLine.dialogText,8297,steps[1].dialogOptions[2].steps[0].dialogLine.dialogText,MonoBehaviour,You think?▸▸▸▸▸ [hahahaha]▸▸[aaaa]▸▸What ever gave you that idea?,그렇게 생각해?▸▸▸▸▸ [hahahaha]▸▸[aaaa]▸▸대체 뭘 보고 그런 생각을 한 거야?,f253c6379226383c1ebc4f75fbd71893561e0469
8297|steps[2].dialogLine.dialogText,8297,steps[2].dialogLine.dialogText,MonoBehaviour,"Honestly, I think my body runs entirely on caffeine now.▸▸▸▸▸▸▸▸ I swear,▸▸ I can barely function without it!","솔직히 이제 내 몸은 카페인으로만 버티는 것 같아.▸▸▸▸▸▸▸▸ 진짜야,▸▸ 카페인 없으면 거의 못 움직이겠어!",dde716beb4e8a09647644e027a02a402fdb0c18c
8297|steps[3].dialogLine.dialogText,8297,steps[3].dialogLine.dialogText,MonoBehaviour,I should probably learn to take it easy...▸▸▸▸▸ but I get so much more done this way!,나도 좀 쉬는 법을 배워야 할 것 같긴 해...▸▸▸▸▸ 그래도 이렇게 하니까 더 많이 할 수 있더라고!,fbbbdd0433292a7ac35faae0b0b4695ab1091473
8298|steps[0].dialogLine.dialogText,8298,steps[0].dialogLine.dialogText,MonoBehaviour,Hmmmm...▸▸▸▸▸▸▸▸▸▸ I may have underestimated the cost of vacationing.▸▸▸▸▸ Things really add up quick...,흠...▸▸▸▸▸▸▸▸▸▸ 휴가비를 좀 만만하게 본 것 같네.▸▸▸▸▸ 진짜 금세 돈 다 써버리겠다...,018072aac5b21d97e23d0c7210d602b7cf6a3280
8298|steps[1].dialogLine.dialogText,8298,steps[1].dialogLine.dialogText,MonoBehaviour,I'm gonna have to try to move twice as much inventory next month to make up for it...,다음 달엔 두 배로 재고를 처리해야 이 손해를 만회하겠네...,603eee5e83ba6924c04813b46a9e213b3edb432d
8298|steps[2].dialogOptions[0].dialogOptionText,8298,steps[2].dialogOptions[0].dialogOptionText,MonoBehaviour,I'd be happy to help you out. How much do you need?,도와줄게. 얼마나 필요해?,316cd747817236c1ae9fdaa9477db73b7f5fff4b
8298|steps[2].dialogOptions[0].steps[0].dialogLine.dialogText,8298,steps[2].dialogOptions[0].steps[0].dialogLine.dialogText,MonoBehaviour,"Don't even think about it!▸▸▸▸▸ I appreciate the offer, but, I don't need anyone's help!▸▸▸","생각도 하지 마!▸▸▸▸▸ 고맙긴 한데, 난 누구 도움 필요 없어!▸▸▸",c66327290636e09197cf4fc94e55fbc0d42e1dd5
8298|steps[2].dialogOptions[1].dialogOptionText,8298,steps[2].dialogOptions[1].dialogOptionText,MonoBehaviour,I'm sure the government has programs that can assist you.,정부에서 도와주는 프로그램 같은 거 있을 거야.,fb4fddf73b86b1a7f3c77e250e60acd568be1698
8298|steps[2].dialogOptions[1].steps[0].dialogLine.dialogText,8298,steps[2].dialogOptions[1].steps[0].dialogLine.dialogText,MonoBehaviour,Hey!▸▸▸▸▸▸▸▸▸▸ Do I LOOK like the kind of person who would take a handout?,야!▸▸▸▸▸▸▸▸▸▸ 내가 그런 거 받는 사람처럼 보여?,e5f1b6a288797417be56beeb445b856dbc08976c
8298|steps[2].dialogOptions[2].dialogOptionText,8298,steps[2].dialogOptions[2].dialogOptionText,MonoBehaviour,You can always just take things without paying for them.,그냥 돈 안 내고 가져가도 되잖아.,893db33ed9f4e21f0ceedb47b726b6492118769b
8298|steps[2].dialogOptions[2].steps[0].dialogLine.dialogText,8298,steps[2].dialogOptions[2].steps[0].dialogLine.dialogText,MonoBehaviour,"Now that would be stealing, wouldn't it?▸▸▸▸▸ I was raised much better than that!","그건 도둑질이지, 안 그래?▸▸▸▸▸ 난 그렇게 안 배웠거든!",e734a32e4ab21d7b84665f8a0477b25d857fccbb
8298|steps[3].dialogLine.dialogText,8298,steps[3].dialogLine.dialogText,MonoBehaviour,"THIS woman makes her own money and pays for her own things, thank you very much!","이 여자는 자기 돈 벌어서 자기 물건 직접 산다, 고마워!",bb3e151c967593aacbca0a86f1c15cb17c53ce11
8299|steps[0].dialogLine.dialogText,8299,steps[0].dialogLine.dialogText,MonoBehaviour,[aaaa]▸▸▸▸▸I was hoping this vacation would distract me from everything going on at home.,[aaaa]▸▸▸▸▸이번 휴가가 집에서 일어나는 일들을 좀 잊게 해줄 줄 알았는데.,39e5ea133f7262581a8482d729243ca4304f1d29
8299|steps[1].dialogLine.dialogText,8299,steps[1].dialogLine.dialogText,MonoBehaviour,"Don't get me wrong,▸▸▸▸▸▸▸▸▸▸ I'm having a great time and everything...","오해하지 마,▸▸▸▸▸▸▸▸▸▸ 지금 되게 재밌게 보내고 있어...",eb1eb3bde530515ba62e29fd082d0c447123ebda
8299|steps[2].dialogLine.dialogText,8299,steps[2].dialogLine.dialogText,MonoBehaviour,"[but]...but I can't seem to take my mind off...▸▸▸▸▸▸▸▸▸▸▸▸▸▸▸ well,▸▸▸▸▸▸▸▸▸▸▸▸▸▸▸ I don't want to bother you with my problems.","[but]...근데 자꾸 머릿속에서 안 떠나...▸▸▸▸▸▸▸▸▸▸▸▸▸▸▸ 뭐,▸▸▸▸▸▸▸▸▸▸▸▸▸▸▸ 굳이 내 고민까지 들려줄 필요 없지.",1c98a504c72b29878c0bc51a77332c9581252ba1
8299|steps[3].dialogOptions[0].dialogOptionText,8299,steps[3].dialogOptions[0].dialogOptionText,MonoBehaviour,"Please, do. I wouldn't mind at all. Maybe I can help.","괜찮아, 얘기해도 돼. 난 전혀 상관없어. 혹시 내가 도와줄 수 있을지도 모르잖아.",89784e36fdd43b1f985f5bfbbdf4663458a87dc4
8299|steps[3].dialogOptions[0].steps[0].dialogLine.dialogText,8299,steps[3].dialogOptions[0].steps[0].dialogLine.dialogText,MonoBehaviour,"No, no,▸▸ really, it's fine.▸▸▸▸▸ I'm just feeling sorry for myself.▸▸▸▸▸ Blah!▸▸▸▸▸ Forget I said anything.","아냐, 아냐,▸▸ 진짜 괜찮아.▸▸▸▸▸ 그냥 나 혼자 불쌍하다고 생각하고 있었어.▸▸▸▸▸ 에휴!▸▸▸▸▸ 내가 한 말 다 잊어버려.",6d540b7519466cb49628b5e531fb7337c707c018
8299|steps[3].dialogOptions[1].dialogOptionText,8299,steps[3].dialogOptions[1].dialogOptionText,MonoBehaviour,"Hey, whatever it is, don't worry, it'll get better. Time heals all.","어떤 일이 있어도 걱정하지 마, 다 좋아질 거야. 시간이 해결해준다니까.",b9f1ffb58224712607f941913816185c9d2f031d
8299|steps[3].dialogOptions[1].steps[0].dialogLine.dialogText,8299,steps[3].dialogOptions[1].steps[0].dialogLine.dialogText,MonoBehaviour,"Yeah...▸▸▸▸▸ maybe.▸▸▸▸▸▸▸▸▸▸ Unfortunately, time is part of the problem...▸▸▸▸▸ Ughh, that's life, I guess.","응...▸▸▸▸▸ 아마도.▸▸▸▸▸▸▸▸▸▸ 근데 불행히도 시간이 문제의 일부야...▸▸▸▸▸ 에휴, 인생이란 게 그런 거 같아.",9f7c27d95692a261dc06cc708a4086b482bc7c88
8299|steps[3].dialogOptions[2].dialogOptionText,8299,steps[3].dialogOptions[2].dialogOptionText,MonoBehaviour,"No matter what happens, nothing can take away the fact that you have huge tits.",무슨 일이 있어도 네가 가슴 큰 건 절대 변하지 않아.,43c8c24f408757407942f33a836e96edbccc0912
8299|steps[3].dialogOptions[2].steps[0].dialogLine.dialogText,8299,steps[3].dialogOptions[2].steps[0].dialogLine.dialogText,MonoBehaviour,"[hahahaha]▸▸[hhhh]▸▸I know it shouldn't,▸▸▸ but that actually does make me feel a LITTLE bit better.","[hahahaha]▸▸[hhhh]▸▸이런 걸로 위로받으면 안 되겠지만,▸▸▸ 진짜 조금은 기분 좋아진다.",272dfbf1f632d1e993023aac8880adeb146035dd
8300|steps[0].dialogLine.dialogText,8300,steps[0].dialogLine.dialogText,MonoBehaviour,"You know, I've always wanted to ask you-▸▸[mmmm]▸▸▸▸▸▸▸▸▸▸▸▸▸▸▸▸▸▸ Excuse me-▸▸▸[aaaammaaaammmmaaaaaaaa]▸▸▸▸▸ ...ughh,▸▸▸▸▸ sorry about that.","있잖아, 전부터 너한테 물어보고 싶은 게 있었는데-▸▸[mmmm]▸▸▸▸▸▸▸▸▸▸▸▸▸▸▸▸▸▸ 실례할게-▸▸▸[aaaammaaaammmmaaaaaaaa]▸▸▸▸▸ ...으으,▸▸▸▸▸ 미안, 미안해.",4228efed4f219d1370fcc232d78926426ece3499
8300|steps[1].dialogOptions[0].dialogOptionText,8300,steps[1].dialogOptions[0].dialogOptionText,MonoBehaviour,Are you alright? That sounds like a pretty nasty cough.,괜찮아? 기침이 꽤 심해 보이는데.,ac54c2beb3c7e37988818f4a5a472841dfa812d3
8300|steps[1].dialogOptions[0].steps[0].dialogLine.dialogText,8300,steps[1].dialogOptions[0].steps[0].dialogLine.dialogText,MonoBehaviour,"I'm fine,▸▸ I'm fine.▸▸▸▸▸▸▸▸▸▸▸▸▸ I've gotten used to it.","괜찮아,▸▸ 진짜 괜찮아.▸▸▸▸▸▸▸▸▸▸▸▸▸ 이제 익숙해졌어.",c43cb6228a343cfe7089a14bf266034a99d971da
8300|steps[1].dialogOptions[1].dialogOptionText,8300,steps[1].dialogOptions[1].dialogOptionText,MonoBehaviour,Can I get you a glass of water or something?,물 한 잔이라도 가져다줄까?,ebd50a565379fa7840cae8a48b6e4f31b74912b5
8300|steps[1].dialogOptions[1].steps[0].dialogLine.dialogText,8300,steps[1].dialogOptions[1].steps[0].dialogLine.dialogText,MonoBehaviour,"No, it's alright.▸▸▸▸▸▸▸ That just seems to happen every so often.","아니, 괜찮아.▸▸▸▸▸▸▸ 가끔 그냥 이런 일이 생기더라고.",7d136188b57cf5d04675e4e5d2f4837c4f05b691
8300|steps[1].dialogOptions[2].dialogOptionText,8300,steps[1].dialogOptions[2].dialogOptionText,MonoBehaviour,That's... hot...,그거... 섹시하다...,a6d01631b32af080f1f9c47590b8e009997defe2
8300|steps[1].dialogOptions[2].steps[0].dialogLine.dialogText,8300,steps[1].dialogOptions[2].steps[0].dialogLine.dialogText,MonoBehaviour,"Ughh,▸▸▸ I know,▸▸ I know... not my best look.","으으,▸▸▸ 나도 알아,▸▸ 나도 알아... 별로 보기 좋은 모습은 아니지.",74cf431d4d16b73b8a2257b18de2b5c88582dec4
8300|steps[2].dialogLine.dialogText,8300,steps[2].dialogLine.dialogText,MonoBehaviour,I'm not sure why but I get an occasional cough or shortness of breath.,왜 그런지 모르겠는데 가끔씩 기침하거나 숨이 차.,689ae9a6a7509fec565f219f60d603bafb5598d3
8300|steps[3].dialogLine.dialogText,8300,steps[3].dialogLine.dialogText,MonoBehaviour,"My doctor says I need to quit smoking, but,▸▸ I don't know...▸▸▸","의사 선생님이 담배 끊으라고 하시던데,▸▸ 나도 잘 모르겠어...▸▸▸",865e9e02ec8b1d443d0e87f4d77f076a37bf756e
8300|steps[4].dialogLine.dialogText,8300,steps[4].dialogLine.dialogText,MonoBehaviour,I've been smoking for over twenty years and I've never had any problems before.,"스무 해 넘게 담배 피웠는데, 전에는 아무 문제 없었거든.",482b8e8776dadecb43eb64e9ac74636d074e5ba3
8301|steps[0].dialogLine.dialogText,8301,steps[0].dialogLine.dialogText,MonoBehaviour,"So,▸▸▸ hot shot,▸▸▸▸▸▸▸▸▸▸ I think it's time you tell me...▸▸▸▸▸ just how many girls HAVE you been with?","그래서,▸▸▸ 잘난 척하는 너,▸▸▸▸▸▸▸▸▸▸ 이제 나한테 말할 때 된 거 같은데...▸▸▸▸▸ 지금까지 몇 명이나 만났어?",ff0e33a3c464628a60b0f3fc14a077cc75e734a5
8301|steps[1].dialogOptions[0].dialogOptionText,8301,steps[1].dialogOptions[0].dialogOptionText,MonoBehaviour,I'm a virgin. I'm saving myself for marriage.,나 아직 안 해봤어. 결혼할 때까지 아껴두려고.,5131863edd96b37a664354e26fb0daeee2ffed18
8301|steps[1].dialogOptions[0].steps[0].dialogLine.dialogText,8301,steps[1].dialogOptions[0].steps[0].dialogLine.dialogText,MonoBehaviour,"Stop,▸▸▸▸▸ I can't with you.▸▸▸▸▸▸▸▸▸▸ Honey,▸▸▸▸▸ you and I are both the farthest thing from a virgin.","그만해,▸▸▸▸▸ 너랑 있으면 안 되겠다.▸▸▸▸▸▸▸▸▸▸ 자기야,▸▸▸▸▸ 우리 둘 다 처녀·총각이랑은 제일 거리가 멀잖아.",e84c196a91956159cd16ecd5c8afad3b388da601
8301|steps[1].dialogOptions[1].dialogOptionText,8301,steps[1].dialogOptions[1].dialogOptionText,MonoBehaviour,I don't really keep track of that sort of thing.,난 그런 거 딱히 세어본 적 없어.,5e6d3924becbdade167d9a4a3c67bb0f2a76ed45
8301|steps[1].dialogOptions[1].steps[0].dialogLine.dialogText,8301,steps[1].dialogOptions[1].steps[0].dialogLine.dialogText,MonoBehaviour,"You don't?▸▸▸▸▸▸▸ I thought everybody did.▸▸▸ I used to,▸▸ but I lost track years ago...▸▸","진짜 안 세?▸▸▸▸▸▸▸ 다들 세는 줄 알았는데.▸▸▸ 나도 예전엔 셌는데,▸▸ 몇 년 전에 까먹었어...▸▸",b7813698237d844896b4e04fa5ed319d1dd915a8
8301|steps[1].dialogOptions[2].dialogOptionText,8301,steps[1].dialogOptions[2].dialogOptionText,MonoBehaviour,It has to be in the triple digits by now.,이제 세 자리 수는 됐을걸.,422c19d3c9b546f1d8231faced14ad305c598c94
8301|steps[1].dialogOptions[2].steps[0].dialogLine.dialogText,8301,steps[1].dialogOptions[2].steps[0].dialogLine.dialogText,MonoBehaviour,"Woooo[hhhww]ww,▸▸▸▸▸▸▸▸▸▸▸▸▸▸▸▸▸▸▸▸ not bad...▸▸▸▸▸▸▸▸▸▸▸▸▸▸▸▸▸▸▸▸ but you've got some work to do if you want to catch up to me.","우와[hhhww] 진짜네,▸▸▸▸▸▸▸▸▸▸▸▸▸▸▸▸▸▸▸▸ 나쁘지 않네...▸▸▸▸▸▸▸▸▸▸▸▸▸▸▸▸▸▸▸▸ 근데 나 따라잡으려면 아직 멀었어.",e37146cae9d211802bdb013e60c1d68dcb43d270
8301|steps[2].dialogLine.dialogText,8301,steps[2].dialogLine.dialogText,MonoBehaviour,"Honestly,▸▸▸▸▸▸▸▸▸▸▸▸▸▸ my pussy▸▸▸ has seen so much▸▸▸ action,▸▸▸▸▸▸▸▸▸▸▸▸▸ I feel like I'm starting to go numb down there.▸▸▸▸▸[hhaahhaa]","솔직히,▸▸▸▸▸▸▸▸▸▸▸▸▸▸ 내 보지▸▸▸ 너무 많이▸▸▸ 해봐서,▸▸▸▸▸▸▸▸▸▸▸▸▸ 이제 거기가 좀 무감각해지는 것 같아.▸▸▸▸▸[hhaahhaa]",be93cab538e73cc7520473f6a3ea55608775e0f3
8302|steps[0].dialogLine.dialogText,8302,steps[0].dialogLine.dialogText,MonoBehaviour,"What do you think▸▸▸ i[ii]s▸▸ a better way▸▸▸ to▸▸▸ die...[h]▸▸[hhh]▸▸▸ slitting your wrists, or▸▸ over▸▸dosing on pills?▸▸▸[h]","죽는 방법▸▸▸ 말[ii]야▸▸ 더 나은 선택이 뭘까?▸▸▸ 그...[h]▸▸[hhh]▸▸▸ 한쪽은 손목을 긋는 거고,▸▸ 다른 한쪽은 약을 과다 복용하는 거야.▸▸▸[h]",409593d83aa6bdb2b09d90c3e0c835b99171bcce
8302|steps[1].dialogOptions[0].dialogOptionText,8302,steps[1].dialogOptions[0].dialogOptionText,MonoBehaviour,"Jesus... kind of a dark question, don't you think?",와... 좀 어두운 질문 아니냐?,dc77a83e0b04a7d56634feec28f5baa43434b33f
8302|steps[1].dialogOptions[0].steps[0].dialogLine.dialogText,8302,steps[1].dialogOptions[0].steps[0].dialogLine.dialogText,MonoBehaviour,What?▸▸▸▸▸▸▸▸▸▸ I mean...▸▸▸▸▸▸▸ I'm▸▸▸ gon▸▸na die▸▸▸▸▸ e▸▸ven▸▸tual▸▸ly.▸▸▸▸▸▸▸[hh]▸▸▸▸▸ I might as well have fun with it.[h],뭐?▸▸▸▸▸▸▸▸▸▸ 그러니까...▸▸▸▸▸▸▸ 어차피▸▸▸ 나▸▸ 언젠가는 죽을▸▸▸▸▸ 거▸▸ 잖아.▸▸ ▸▸ ▸▸▸▸▸▸▸[hh]▸▸▸▸▸ 그럴 거면 그냥 재밌게 하는 게 낫지.[h],53b73183f9f3065c37fea6cac8673d72f5d92c4d
8302|steps[1].dialogOptions[1].dialogOptionText,8302,steps[1].dialogOptions[1].dialogOptionText,MonoBehaviour,"Why not both? In for a penny, in for a pound!",왜 둘 다 안 해? 어차피 한번 할 거 제대로 하자는 거지!,d352c929fb0acb6baa7ced08b7b8151bdd5328ba
8302|steps[1].dialogOptions[1].steps[0].dialogLine.dialogText,8302,steps[1].dialogOptions[1].steps[0].dialogLine.dialogText,MonoBehaviour,"Oh▸▸▸ my▸▸▸ god,▸▸▸▸▸ YEEEESS[SS]!▸▸[hh]▸▸▸▸▸▸▸▸[hh] Then I could BLOW my brains out▸▸ just for good measure!",오▸▸▸ 세상에▸▸▸ 진짜▸▸▸▸▸ 아아아아[SS]!▸▸[hh]▸▸▸▸▸▸▸▸[hh] 그럼 마지막에 머리도 터뜨릴 수 있지▸▸ 더 확실하게!,d5bfe802a1ff4ba2ff85e6394ec20b878d5811ab
8302|steps[1].dialogOptions[2].dialogOptionText,8302,steps[1].dialogOptions[2].dialogOptionText,MonoBehaviour,"Crazy thought, but you could always NOT kill yourself.","말도 안 되는 생각일 수도 있는데, 그냥 죽지 말 수도 있잖아.",1affbed15075bfe9670f8b35a5b1e0e6615ebe29
8302|steps[1].dialogOptions[2].steps[0].dialogLine.dialogText,8302,steps[1].dialogOptions[2].steps[0].dialogLine.dialogText,MonoBehaviour,"Yeeeeaahh,▸▸▸ I mean,▸▸▸[hh] I guess...▸▸ but,▸▸▸[hh] what fun is that?[h]","맞아,▸▸▸ 그러니까,▸▸▸[hh] 그런 것 같은데...▸▸ 근데,▸▸▸[hh] 그게 뭐가 재밌냐?[h]",451b0f57cc9a416b5a5f2a4d8681d0189affad8a
